subject	script	date	recruitment	age	sex	handedness
53500	br	19.07.2023	sona	18.98	m	l
51175	br	20.07.2023	sona	19.39	m	r
00004	cb	31.07.2023	flyer	23.00	f	r
52204	cb	24.07.2023	sona	20.21	m	r
00008	br	24.07.2023	flyer	18.00	f	r
55009	br	28.07.2023	sona	18.97	m	l
00014	cb	30.08.2023	flyer	19.00	f	r
00015	cb	04.08.2023	flyer	21.00	f	l
00017	cb	16.08.2023	flyer	22.00	m	r
00018	cb	11.08.2023	flyer	21.00	m	r
00019	br	21.08.2023	flyer	22.00	f	l
00020	br	18.08.2023	flyer	25.00	f	l
00024	cb	25.09.2023	flyer	21.00	f	r
00025	cb	03.09.2023	flyer	19.00	f	r
00026	br	03.09.2023	flyer	20.00	f	r
00029	br	09.09.2023	flyer	21.00	f	r
55756	cb	05.09.2023	sona	37.41	f	r
55678	br	11.08.2023	sona	21.81	m	r
00033	br	18.09.2023	flyer	20.00	f	r
00035	cb	25.09.2023	flyer	20.00	m	r
00036	cb	26.09.2023	flyer	20.00	f	r
55879	br	24.09.2023	sona	18.24	f	r
55888	br	24.09.2023	sona	19.51	f	r
55891	br	24.09.2023	sona	20.86	f	r
55918	br	25.09.2023	sona	17.92	f	l
55978	cb	25.09.2023	sona	34.96	f	l
55987	cb	27.09.2023	sona	17.77	f	l
00045	br	07.10.2023	flyer	23.00	f	r
00046	br	01.10.2023	flyer	21.00	f	r
00047	cb	17.10.2023	flyer	22.00	f	r
00048	cb	04.10.2023	flyer	19.00	m	r
00049	cb	13.10.2023	flyer	20.00	m	r
00050	br	10.10.2023	flyer	22.00	f	r
00051	cb	13.10.2023	flyer	19.00	f	r
00053	cb	18.10.2023	flyer	24.00	f	r
00054	cb	09.10.2023	flyer	21.00	f	r
00055	cb	11.10.2023	flyer	21.00	f	r
00056	cb	12.10.2023	flyer	26.00	f	r
00058	br	12.10.2023	flyer	34.00	f	r
00059	br	16.10.2023	flyer	20.00	f	r
00060	br	10.10.2023	flyer	23.00	m	r
00062	br	10.10.2023	flyer	19.00	f	r
00063	br	16.10.2023	flyer	27.00	f	r
00065	br	16.10.2023	flyer	31.00	f	r
00066	cb	13.10.2023	flyer	23.00	m	r
00067	cb	17.10.2023	flyer	23.00	f	r
00068	cb	16.10.2023	flyer	28.00	m	r
00069	cb	11.10.2023	flyer	19.00	m	r
00070	cb	16.10.2023	flyer	24.00	m	r
00071	cb	13.10.2023	flyer	18.00	f	r
00074	br	23.10.2023	flyer	25.00	f	r
00076	br	17.10.2023	flyer	24.00	f	r
00077	br	26.10.2023	flyer	30.00	m	r
00079	br	28.10.2023	flyer	28.00	f	r
00080	br	24.10.2023	flyer	24.00	f	l
00081	br	23.10.2023	flyer	21.00	f	r
00082	br	21.10.2023	flyer	20.00	m	l
00083	br	23.10.2023	flyer	20.00	m	r
00084	br	22.10.2023	flyer	23.00	m	r
00085	br	28.10.2023	flyer	23.00	f	l
00086	br	23.10.2023	flyer	23.00	f	l
00087	br	23.10.2023	flyer	20.00	m	l
00088	br	23.10.2023	flyer	22.00	f	r
00089	br	24.10.2023	flyer	25.00	m	r
00090	br	23.10.2023	flyer	22.00	m	l
00092	cb	30.10.2023	flyer	21.00	f	r
00093	cb	02.11.2023	flyer	20.00	f	r
00094	cb	30.10.2023	flyer	21.00	f	r
00095	cb	21.11.2023	flyer	29.00	f	r
00097	cb	06.11.2023	flyer	22.00	m	r
00098	cb	08.11.2023	flyer	20.00	m	r
00100	br	08.11.2023	flyer	22.00	m	r
00101	cb	27.11.2023	flyer	28.00	f	r
00104	cb	20.11.2023	flyer	28.00	f	l
00106	cb	10.11.2023	flyer	22.00	f	r
00107	cb	17.11.2023	flyer	19.00	m	r
00108	br	24.11.2023	flyer	27.00	m	r
00111	cb	06.12.2023	flyer	19.00	f	r
00113	cb	11.12.2023	flyer	25.00	f	r
00114	cb	05.12.2023	flyer	22.00	f	r