ses-1_sum,ses-2_sum,ses-3_sum,ses-4_sum,letter-training_sum,letter-refresh_sum,word-training_sum,word-test_sum
2050.030399999857,3470.403299999952,2763.2402000000475,2653.926099999904,848.9915999999047,114.31659999990462,5593.036500000238,2705.000600000142
3185.064400000006,4360.015300000012,2297.1940999999642,2438.9765,1841.200400000006,208.78340000003575,6545.516899999917,3191.5527999999817
2305.608599999994,3666.3239000000062,2518.582800000012,2218.426699999988,886.335599999994,153.33650000000006,5434.8465,3113.5615999999645
4207.9845000000005,4263.013199999988,1842.1640999999643,2524.4498999999764,1924.1626999999885,149.2133000000119,5879.492499999941,3665.7541999999285
2353.506,3170.0099999999998,2195.441300000191,2414.355,987.762,121.544,4555.250200000048,2621.855100000143
3139.8457000000476,4272.013600000143,3748.6209999999996,2645.1780000000003,1643.3356000001431,182.46010000014303,7067.567,2916.291600000143
2242.8742999997135,3949.0286999998093,2990.585799999714,4374.869600000382,1028.0596999998093,178.3529000000954,5862.550400000096,3957.038499999523
1883.751700000003,2900.389800000012,2221.922,2107.751,785.277900000006,140.0128000000119,4346.953800000012,2252.24509999995
2197.610299999237,4191.576999999999,3485.839299999237,2910.3626000003815,806.0770000000001,143.76839999961857,6100.172499999999,3631.9257999992374
2384.7346000001426,3630.543200000048,3009.3092000000474,2697.2567000000477,1382.2659999999998,180.5862000000477,6094.920400000097,2342.2834000000944
2275.539900000006,3160.2311999999883,2832.0130000000004,3302.2400000000002,1388.9019000000062,123.18509999999404,6595.5555,2813.122700000017
3411.3552000000477,3646.8891000000235,2853.0845000000004,2259.2727999999524,921.7477000000476,114.83939999997614,5864.365700000167,4172.228300000191
2868.8382999999967,3401.2617000000173,3413.884200000018,2837.788800000011,1231.6011000000017,96.13760000002384,6434.29949999997,2974.3096000000683
2975.538699999999,4548.815099999998,3672.556300000004,3067.9361999999883,1617.946300000001,354.8195999999978,7090.413599999994,4429.258299999994
13048.567999999997,1861.5490999999643,1492.9916999999882,2258.1275000000005,667.7615,93.40389999997616,3831.8235999999647,14013.962400000026
1971.038600000143,3058.229,2624.2347000000477,3179.2476000001434,812.199600000143,212.57190000009535,5656.626200000047,2498.845099999905
3128.4474000000955,5465.3092999999535,6951.000899999976,10590.409599999904,1661.8785,108.59169999992848,17218.391300000072,4603.572
3614.6011999999882,4656.967199999988,4127.809199999989,3834.9302000000475,1626.980800000012,134.26710000002385,7889.422300000013,4069.938099999904
3194.414399999976,8224.931500000002,5904.668899999976,4139.450099999965,1307.9675,134.5752999999523,12580.044100000025,5331.701600000026
2232.0139999999997,3717.0620000000004,2898.148,2664.441,984.151,435.447,5586.431,2886.8610000000003
2267.7260000000006,2929.8268000000003,2151.6577000000025,2177.4002000000028,1148.3272999999997,129.81459999999996,4230.646300000009,2259.8324000000066
2834.4330000000004,3061.775,2585.8,2697.025,1443.371,109.16400000000002,5499.139999999999,2818.8280000000004
1659.7386,3712.932400000002,1902.9596000000015,1892.593799999997,930.1173,208.7363000000007,5385.4465,2561.8616000000065
2525.3002999999526,3183.9819999999995,3133.401899999857,2321.0832999999525,1347.1516000000238,98.94910000002383,5056.854299999953,3054.6576999998097
4048.123200000003,3302.563799999982,3814.539199999988,2454.3088999999754,2563.449100000001,145.33639999997618,7050.997899999975,2932.4232999999967
2742.4759999999997,3162.1270000000004,2733.826,2591.864,1456.228,144.13000000000002,5522.238000000001,2514.5699999999997
2682.5052000000014,4936.9715,2984.2465,2612.420699999999,1269.6076000000007,187.91089999999852,6304.535299999998,2932.079300000003
2047.2892,2842.0212000000024,2271.447700000018,3063.628100000024,894.9459000000005,133.20240000000595,5173.909200000033,2634.340800000021
2641.1690000000003,3409.763,2796.4669999999996,2438.0963,810.812,108.44799999999998,5197.196800000001,3611.7812000000004
3541.582299999952,3174.7745999999993,2445.9832000000033,2303.191399999976,1261.7947000000477,150.8082,4601.169999999995,4699.6624999998085
2580.4569,3741.58,2559.018,2327.484099999994,839.6931,207.032,5307.193700000003,2331.9701999999934
3160.696,3894.6600000000003,2739.86,2608.5249999999996,1424.061,236.16800000000003,5722.597,3142.975
3177.527299999952,3445.118100000024,3008.885700000048,2551.3392999999523,2113.1756000000237,112.84539999997617,5641.493700000048,2542.7072000000476
3206.768800000012,3186.840300000012,3400.1877000000477,2889.848199999988,1726.651100000024,180.82310000002383,6363.952599999906,2893.4561000000836
2370.398200000048,3487.9094999999998,2905.4678999999755,2779.4231000001428,1064.9111000000237,159.06879999995232,5923.357600000023,2798.0508000001896
2102.114299999997,2840.8137000000174,2670.8954000000062,2349.1450999999643,1223.3445,101.482,5277.746500000029,2619.6399000000065
1879.2907000000475,4008.8725999999047,2839.335600000143,3199.848200000048,831.6297000000477,138.63350000000003,5499.2627000000475,3277.824700000048
2975.3,3131.002,2685.432,2570.71,1261.911,106.613,5855.257,3065.191
3842.671400000095,3070.5839999999994,1985.6635000000003,2047.6778999999985,1595.9734000000951,160.9425,4035.483399999618,3627.9983000005705
2771.632400000001,2503.2183999999984,1932.8935,8229.215,1171.8795,118.3738999999985,10803.425900000006,2857.0613999999914
2773.0516,4371.900700000002,4272.587699999989,3316.829400000006,1527.3398,173.1013000000045,7856.673099999978,2743.4646999999823
2161.1076000003814,4057.3588000001905,2912.279600000382,2510.4484999999995,1062.196400000572,110.49669999980928,6214.8352000007635,2741.5829999999996
3327.1519000000058,2869.5751999999875,2895.24,2434.249699999988,1859.7378000000117,120.00850000000004,4614.5105,2636.6147000000174
3172.5117999999998,3735.6845000000008,3856.832300000001,2898.8794000000025,1650.6902,138.1218999999999,7483.342800000002,3524.2909000000022
3295.920300000001,4461.0375,2598.043200000018,2569.0779000000066,945.2203999999986,147.38860000000147,5699.952899999998,2941.5124000000214
3628.946,5313.305,2730.7540000000004,5010.849999999999,1968.348,131.598,6212.009000000001,2967.4880000000007
2663.4309000000953,3586.438399999976,3217.1949999999997,2927.0667999999523,1080.975,303.93219999992846,5573.560200000048,3588.2736000000236
3218.555200000048,3611.1257999999525,2860.0860999999045,2542.3180999999045,1709.967600000143,140.55949999999996,5294.784299999953,3082.5276999998096
2410.151399999999,4086.328599999994,9422.135600000009,2566.4849999999997,1115.9808999999989,117.14559999999403,5992.484099999979,2692.144900000022
3530.0898999999904,3955.813699999988,2461.578299999982,2438.422399999976,982.35,109.98529999998212,5058.002099999964,4190.97189999999
2686.5210000000006,3979.7631000000238,3143.717899999976,2534.0795,899.0996000000238,142.079,6825.375299999997,3055.9204999999065
3533.3250000000003,5125.8189999999995,3400.161,2920.926,1885.376,369.716,7003.802000000001,3227.2219999999998
4326.7915,2688.081599999905,2188.3765999999046,2115.066,728.6857000002861,98.35419999980924,3152.842900000572,7238.805199999332
3961.1715,4257.639399999856,3365.6548000001912,2930.310899999857,1543.6077000000475,121.41539999985694,7215.163200000048,3914.8028999999756
2887.3037000000027,3214.5178999999907,2683.9781000000007,2432.7755999999945,1318.847299999997,119.20939999999108,4980.255600000003,2644.6550999999936
3187.8345,3537.1033999999763,2720.709399999976,2584.782899999976,1432.5377000000476,120.9617999999523,5641.670100000025,3480.735599999905
2042.735100000024,2542.035,2401.4072000007627,2432.3857999992374,1121.6949000000357,105.89600000000002,4116.400799999237,2292.7070999992493
1753.074099999994,2396.9427999999816,1513.7496000000237,1678.9432000000477,749.913199999988,87.79389999997616,2727.0191000000837,3726.112699999988
2425.7319000000953,3184.291200000048,2462.740099999905,2326.466300000191,1114.1245,124.15250000000005,4612.2003000001905,2965.4761000001436
2510.6687999999995,3374.7616999999955,2785.0712000000026,2363.3245000000006,1099.7223999999994,118.61859999999402,5085.878100000016,2340.3798999999854
1812.234,2668.227500000001,2054.1376999998092,2401.487599999905,727.6952999999523,226.25309999990463,4124.035799999953,2418.970199999809
2937.886,4877.3189999999995,3311.918,2995.215,1360.428,219.49100000000004,7791.537,3478.1459999999997
3588.775,3921.4049999999997,5454.353999999999,4439.669,2225.933,112.245,10089.908000000001,3714.456
1262.1069000000953,1425.1255999999044,1318.0887999999522,1569.0256999998091,632.6425,86.14220000004768,2436.4686999998094,2343.713299999714
3181.606899999857,4454.931500000001,3709.9110999999043,3432.719599999905,2066.1034999999997,132.52689999985694,8630.972000000238,2624.8972999999523
2289.8508999996184,2825.6931999998087,2171.166699999809,1902.5444999999997,965.8605,125.81369999980927,3996.2391000003813,3053.2536999998097
2575.7012000000477,3404.139199999809,2367.3213000001906,2198.0274999999997,881.1215999999046,124.35669999980924,5065.297300000667,4089.6165999994264
1847.9456999998092,2799.4939999999997,2085.1142999997137,1974.077700000286,870.7950999999047,116.16390000009535,4515.196800000191,2701.1841000003815
2461.503299999952,4473.878999999999,4948.259900000006,2857.4420999999943,931.8479000000954,184.32939999999107,6332.177799999997,3064.181099999905
1789.448,4375.1150999999645,2566.2508000000116,2985.3720000000003,703.1845999999047,136.4398999999762,5891.6630000000605,4163.199100000024
4751.516200000001,5739.530299999997,5220.719300000001,4317.459500000001,2361.412500000001,280.7908999999985,8952.9184,6496.948800000006
2108.3238999998575,3573.4766000001428,2769.865,2157.7767999999523,1049.8577999999525,173.22320000004768,5955.111599999904,2524.6883999998568
3452.5339999999997,4722.554199999987,2837.080399999976,2300.2303000000115,2083.345199999988,186.45489999997616,6438.034900000006,2725.6488000000113
4212.952299999997,2883.8664,2791.115900000006,2636.8098000000123,1789.6515,98.8325,4563.930099999994,5636.323699999995
1763.728,2677.223,2294.838,1707.242,871.6019999999999,115.571,4079.9489999999996,2374.527
2005.1143999999763,2941.479,2628.658699999928,2428.287100000024,893.1685,108.2342000000477,4788.960600000143,2379.7584999998808
2645.140099999994,3404.2671000000237,2612.367100000023,2604.861699999988,911.4706999999884,103.23010000002384,5066.402700000048,3553.942300000041
4163.75,4116.864,3979.263,3900.449,1994.457,126.758,8315.413,3597.153999999999
2518.0280000000002,3025.982399999976,2470.217100000024,2718.270400000095,1455.2745,108.65389999997616,4839.570100000024,2616.350100000024
2135.697100000024,4147.964600000024,3201.0901999999282,1721.0252999999525,1093.7366000000238,187.305,5918.894100000024,2862.9205
2909.10600749999,3668.1244887499925,3025.941178749995,2850.0737999999974,1279.9955287500154,152.15055999998316,5997.912818750032,3372.2973449999627
